Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,The Glitch Moment(um),2011,Rosa Menkman,	Institute of Network Cultures,"art, creativity, culture, design, encoding, multimedia, noise",https://drive.google.com/file/d/1OxciUEKm6LuoUBQ3DC-g_Jf48OlYylKL/view?usp=sharing,"In this book, the author brings in early information theorists not usually encountered in glitch’s theoretical foundations to refine a signal and informational vocabulary appropriate to glitch’s technological moment(um) and orientations. The book makes sense of recent glitch art and culture: technically, culturally, critically, aesthetically and finally as a genre."
,,,Graphic Design and Print Production Fundamentals,2017,"Wayne Collins
Alex Hass
Ken Jeffery
Alan Martin
Roberto Medeiros
Steve Tomljanovic",BCCampus,"art, color, composition, design, typography",https://drive.google.com/file/d/1v-ZnegckE9LItGW1gnJhdsEIb9hpeUsL/view?usp=sharing,"By inviting a group of select experts to author the chapters of this textbook, our goal is to specifically focus on different aspects of the design process, from creation to production. Each chapter begins with a list of Learning Objectives, and concludes with Exercises and a list of Suggested Readings on the Summary page."
,,,Getting Started With Adobe Illustrator,2012,"Azamat ""Bohed"" E.",makeuseof.com,"adobe, design, graphic design, illustrator, vector system, vectors",https://drive.google.com/file/d/1wwLuSg5dMxx_1YCaR5p2f4yRQhF3zaa0/view?usp=sharing,This manual lays the foundations to start working with Illustrator through examples of real use such as the creation of an icon and 3D text. At the end of the book are some very useful tips and tricks for daily practice.
,,,Image Restoration - Recent Advances and Applications,2012,Aymeric Histace,InTech,"edition, graphic design, image, multimedia, restoration",https://drive.google.com/file/d/1lliDy1kD-95_5GH0EDf5xLgsIHaaeORn/view?usp=sharing,"This book represents a sample of the recent contributions that researchers are making in the field of image restoration. Many chapters cover the various methods and aspects of image restoration itself, but this book is also an opportunity to discover some of the newer concepts such as emerging new image restoration devices."
,,,Imagining the Future City: London 2062,2013,"Sarah Bell 
James Paskins",Ubiquity Press,"architecture, art, ecology, economy, engineering, health, information, technology",https://drive.google.com/file/d/1lRFeLRDXxf1TGq8yvtnTH3Ik-NGdMo9i/view?usp=sharing," The London 2062 Programme from University College London brings a new, cross-disciplinary and highly collaborative approach to investigating the complex nature of this city.This book approaches the question of London’s future by considering the city in terms of Connections, Things, Power and Dreams."
,,,Learn OpenGL,2015,Joey de Vries,Self-published,"3D, design, OpenGl",https://drive.google.com/file/d/1F0FWq71ybmCq08LmjpiEPBPucoktDr_I/view?usp=sharing,"This book wil help you learn the inner workings of computer graphics and it will provide you with a great understanding of graphics programming. Prerequisites Since OpenGL is a graphics API and not a platform of its own, it requires a language to operate in and the language of choice is C++, therefore a decent knowledge of the C++ programming language is required for these tutorials. "
,,,Modeling and Simulation in Engineering,2012, Catalin Alexandru,InTech,"3D, design, engineering, modeling, prototyping",https://drive.google.com/file/d/1bVILWFDd0Tg5ux7kcrxnoYXxGUsmjL-a/view?usp=sharing,"This book provides an open platform to create and share the knowledge developed by academics, scientists and engineers around the world, on the various applications of modeling and simulation in the product design process within different fields of engineering."
,,,Organic Creativity and the Physics Within,2013,Mea M.M. Lowcre,	John Benjamins Publishing Company,"creativity, perception, psychology",https://drive.google.com/file/d/1JyXTascQp9y9940BTFPq_cZSefCC9uoj/view?usp=sharing,"This book will help you understand creativity to a greater extent. It is important because if we knew it better, we could apply civilization’s enhanced creativity to the wicked problems that afflict us – problems which require those extraordinary breakthroughs that only extraordinary creativity may provide."
,,,Photoshop CS6: Your Ultimate Overview,2012,"Azamat ""Bohed"" E.",makeuseof.com,"design, edition, graphic design, photo retouching, Photoshop",https://drive.google.com/file/d/1KFyZlCDlaE16hSWddNlRBEmHKKIE_TPa/view?usp=sharing,"This short guide reviews some of the new features introduced in the CS6 version of this famous software package, as well as general tips and tricks for a better use of it. A final section explains, as an annex, how to improve system performance by customizing its main parameters."
,,,Pixel Perfect Precision v.3,2014,ustwo,ustwo.com,"accessability, design, illustrator, interfaces, Photoshop, UI",https://drive.google.com/file/d/1PaFMUE5mosanf14QK5t4phh7LaeeYdoI/view?usp=sharing,The focus of this book is shifted away from pure pixels to cover more about Design and Development. The material of this book could be abpplied to anz area of work and different design requirements.
,,,Production Ergonomics: Designing Work Systems to Support Optimal Human Performance,2017,"Cecilia Berlin
 Caroline Adams",Ubiquity Press,"anatomy. design, economy, ergonomics",https://drive.google.com/file/d/1hN608gX0TV6YL9AYXnfefX7idJl-DzWL/view?usp=sharing,"To help budding system designers and production engineers tackle these design challenges holistically, this book offers a multi-faceted orientation in the prerequisites for healthy and effective human work. "
,,,Guide to Ancient Aegean Art,2019,no authors,Smarthistory,"art, history, Greek, Aegean, ancient",https://drive.google.com/file/d/1ur8yy3NYeOoc_dYLV81uPzrAWnc8HwzU/view?usp=sharing,"This book contains all of Smarthistory’s content for the Ancient Aegean, including Cycladic, Minoan, and Mycenaean art."
,,,Guide to Ancient Egyptian Art,2019,no authors,Smarthistory,"art, history, Egypt, ancient",https://drive.google.com/file/d/1zV3s8kqzM4GSKHlbyVdjo75S2Yl2zjat/view?usp=sharing,This book contains all of Smarthistory’s content for the Ancient Egyptian art.
,,,Guide to Ancient Etruscan Art,2019,no authors,Smarthistory,"art, history, Italy, Tuscany, ancient",https://drive.google.com/file/d/1biXBxcs6T9j1X_1d03HDnpDEfafIaSxF/view?usp=sharing,This book contains all of Smarthistory’s content for the Ancient Etruscan art.
,,,Guide to Ancient Greek Art,2019,no authors,Smarthistory,"art, history, Greek, Aegean, ancient",https://drive.google.com/file/d/1-HwDrzXMkLWZjc9ipfKPJSC6loArx4hZ/view?usp=sharing,This book contains all of Smarthistory’s content for the Ancient Greek art.
,,,Guide to Ancient Near Eastern Art,2019,no authors,Smarthistory,"art, history,East, ancient",https://drive.google.com/file/d/1_dBTYctroHiLWYKCDmSetd3GxldC4EnA/view?usp=sharing,This book contains all of Smarthistory’s content for the Ancient Near Eastern art.
,,,Guide to Ancient Roman Art,2019,no authors,Smarthistory,"art, history, Rome, ancient",https://drive.google.com/file/d/1ziBM0qWxRNWa4ldZnuGdkqJqBvQTrF3W/view?usp=sharing,This book contains all of Smarthistory’s content for the Ancient Roman art.
,,,Guide to Byzantine Art,2019,no authors,Smarthistory,"art, history, Byzantium, ancient",https://drive.google.com/file/d/1EwclqXVdzPExYqHiTe8HMfzb38Hqw_7p/view?usp=sharing,This book contains all of Smarthistory’s content for the  Byzantine art.
,,,Guide to Italian Art in the 1300s,2019,no authors,Smarthistory,"art, history, Italian, ancient",https://drive.google.com/file/d/1Ia27mFNK-rkPqwhuPxOsOdlnobxPGqce/view?usp=sharing,This book contains all of Smarthistory’s content for the Italian art 1300s.
,,,Guide to Italian Art in the 1400s,2019,no authors,Smarthistory,"art, history, Italian, ancient",https://drive.google.com/file/d/1ahuuM82j2kpyh-GJi9u-i_Zi2Z7xq94t/view?usp=sharing,This book contains all of Smarthistory’s content for the Italian art 1400s.
,,,The Shape of Design,2012,Frank Chimero,Desktop publishing,"art, design, graphic design",https://drive.google.com/file/d/1TWI8Xd1wxN-KhnVFh-j7PLeePqQoiyoc/view?usp=sharing,"Frank Chimero, renowned graphic designer, illustrator, writer and teacher, teaches us through this book his philosophy of work as far as design is concerned: Frank expresses a great adoration for the process rather than for the end of it. Understand design more like a verb than a noun, it is something that has life, it is something that is constantly in motion and that you cannot hold on to. "
,,,Type Classification,2008,Jacob Cass,Self-published,"design, fonts, typography",https://drive.google.com/file/d/1k_wjRN7A8fgXCKxUQYFYQ5Acv1nKMUK6/view?usp=sharing,"The intention of this book is to help you know the 10 laws or ways of classifying a typeface. There is no question here as to why this might be useful, but graphic designers and web builders will certainly quickly understand the value of this guide."
FAM,,,,,,,,,
,Digital Business and Marketing,,,,,,,,
,,Accounting,,,,,,,
,,,Accounting Principles A Business Perspective,2018,"Roger H. Hermanson
 James Don Edwards
 Michael W. Maher",The Global Text Project,"financial reporting, merchandising, capital stock, corporations, stock investments, long-term financing, cash flow, managerial accounting, cost management, budgeting,",https://drive.google.com/file/d/1zC_mzdylrmBv_CeTpVz-hT1-3-L2ho9m/view?usp=sharing,"Accounting principles courses teach you the ""language of business"" so you understand terms and concepts used
in business decisions. If you understand how accounting information is prepared, you will be in an even stronger
position when faced with a management decision based on accounting information."
,,,Intermediate Financial Accounting Volume 1,2016,"Glenn Arnold
 Suzanne Kyle",Lyryx,"financial reports, revenue, cash, inventory, property, Intercorporate investments, intangible assets, goodwill",https://drive.google.com/file/d/1APQN14nAI8vWW8tyBdNZqEAuFihnDwO8/view?usp=sharing,"Building up on Introduction to Financial Accounting, this book delves deeper into the elements of financial accounting for students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,Intermediate Financial Accounting Volume 2,2017,"Glenn Arnold
 Suzanne Kyle",Lyryx,"Liabilities, financial instruments, income taxes, employment benefits, leases, shareholder’s equity, cash flow, error",https://drive.google.com/file/d/1lXj4GnFaUpWpajvRo2NTB0EUkzALD9hI/view?usp=sharing,"Building up on Introduction to Financial Accounting, this book delves deeper into the elements of financial accounting for students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,Introduction to Financial Accounting,2017,"Henry Dauderis
 David Annand",Lyryx,"Classified balance sheet, financial statement, audit(or), merchandising, cash and receivables, long-lived assets, liabilities, debt, equity financing, cash flow, proprietorships, partnerships",https://drive.google.com/file/d/1e9XOnIcxqwKAUJEr6OCFmPMnDBE3lu9X/view?usp=sharing,"This book delves into the elements of financial accounting for beginner students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,Financial accounting,2016,No authors,University of Minnesota Libraries Publishing,"Capital shares, income, balance sheet, cash flow, financial statements, transaction analysis, bookkeeping, audit, inventory, property and equipment, assets, liabilities, bonds, leases, shareholder’s equity,",https://drive.google.com/file/d/1lEfBjZxjEHwMMTxqMC-US2q_i-bO8MV6/view?usp=sharing,Financial Accounting is adapted from a work produced and distributed under a Creative Commons license (CC BY- NC-SA) in 2012 by a publisher who has requested that they and the original author not receive attribution. This adapted edition is produced by the University of Minnesota Libraries Publishing through the eLearning Support Initiative.
,,,Introduction to Financial Accounting U.S. Generally Accepted Accounting Principles adaptation,2019,"Henry Dauderis
 David Annand",Lyryx,"GAAP, double entry accounting, transaction analysis, trial balance, classified balance sheet, financial statements, audit, sale of goods, merchandising, inventory, cash, receivables, long lived assets, debt, liabilities, equity financing, cash flow, proprietorships and partnerships",https://drive.google.com/file/d/1iguuNfvPZWAeiCa-awM4hS00G0QBw8ui/view?usp=sharing,"This book delves into the elements of financial accounting for beginner students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,Managerial Accounting,2016,"Kurt Heisinger
Joe Hoyle",saylor foundation,"GAAP, financial accounting, management, structure, ethics, computerized systems, cost, income, inventory, cost flow, merchandising, overhead, capital, budgeting",https://drive.google.com/file/d/1EqI87im3oxBycF4dWJBZb8R3xNlTdjw4/view?usp=sharing,"This book delves into the elements of managerial accounting for beginner students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,"Principles of Accounting 
 Managerial accounting Vol 2",,"Mitchell Franklin
 Patty Graybeal
 Dixon Cooper",OpenStax,"Managers, merchandising, manufacturing, service organizations, behavior patterns, cost-volume-profit, budgeting, decentralization, balanced scorecard, sustainability, financial statement analysis",https://drive.google.com/file/d/1R_tHx9a-DD1ZzRqzTbbGubkTH3qNWC7g/view?usp=sharing,"This book delves into the elements of managerial accounting for beginner students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,,Principles of Financial Accounting,,"Editor
Christine Jonick",University of North Georgia University Press,"Balances, income, debit, credit, balance, financial statements, assets, liability, stockholders’ equity, service business, merchandising business, capstone experiences",https://drive.google.com/file/d/1QZH57WZFDxhLnsNbz8E6tSjUHpB92pl8/view?usp=sharing,"This book delves into the elements of financial accounting for beginner students as well as professionals, looking for revision or clarification of certain theoretical and pratical areas."
,,Communication,,,,,,,
,,,Management Communication,2017,"Lisa Thomas
 Julie Haupt
Andy Spackman",The Marriott School at Brigham Young University,"Brand, management, writing, presentation, language",https://drive.google.com/file/d/1y7PZdWgGFo7kzhh4e9WKdSqgWL5EbNig/view?usp=sharing,"This book teaches you to use your communication skills in business environment, especially for management position. Build up your presentation skills and promote the brand in a more successful manner."
,,Business English,,,,,,,
,,,Business English for Success,2011,Scott McLean,Saylor Foundation,"Writing, grammar, punctuation, English,languages, communication",https://drive.google.com/file/d/1CtSO_bpACUmK0Xy7wugXApRM67asS-Xd/view?usp=sharing,Business English for Success is a creative solution to a common challenge across Business Communication courses. 
,,,Business Communication for Success,2015,No authors,University of Minnesota Libraries Publishing,"Speaking, communication, English, writing, presentation, leadership, teamwork",https://drive.google.com/file/d/1ZZUnBEjd-VKbR-89wvhsPXgZfnBbGg7J/view?usp=sharing,Business Communication course is designed to help you work on your communication skills in a business setting.
,,,Business Writing style guide,2020,"John Morris 
 Julie Zwart",Oregon State University,"Writing, communication, business, report, grammar, plagiarism",https://drive.google.com/file/d/1EwFYaBz_lcDMJpNKRHAYiodEijSYwuR9/view?usp=sharing,The Business Writing Style Guide starts with a solid foundation in written communication with several opportunities to both review the fundamentals as well as to demonstrate mastery and move on to more challenging assignments.
,,Law,,,,,,,
,,,The Ethical Spirit of EU Law,,Markus Frischhut,,"EU law, Ethics, Philosophy of law, Deontology, Consequentialism, Virtue ethics, Communitarianism, Principlism, EU values, Open Access",https://drive.google.com/file/d/1AQg1EAYObk535HLXg2Hrbp4ugHHin995/view?usp=sharing,"This open access book seeks to identify the ethical spirit of European Union (EU) law, a context in which we can observe a trend towards increasing references to the terms ‘ethics’ and ‘morality. In addition to the above-mentioned normative philosophical lens, the book also analyzes the findings from the legal lens of EU integration, i.e., especially EU values, human rights and the cornerstone of human dignity."
,,,Advanced Business Law and the Legal Environment,2012,"Don Mayer
Daniel Warner
George J. Siedel
Jethro K. Lieberman
Alyssa Rose Martina",Saylor Foundation,"Legal systems, US positive law, common law, democracy, civil law, business, ethics, , corporate, courts, constitutional law, commerce, administrative law, criminal law, tort reform",https://drive.google.com/file/d/1zKbx0YJGgm9p9szNtWLdVY0X5hSptkIN/view?usp=sharing,"The goal of this book is to provide students with a textbook that is up to date and comprehensive in its coverage of legal and regulatory issues—and organized to permit instructors to tailor the materials to their particular approach. This book engages students by relating law to everyday events with which they are already familiar (or with which they are familiarizing themselves in other business courses) and by its clear, concise, and readable style."
,,,Business Ethics,2018,"Stephen M. Byars
 Kurt Stanberry",OpenStax,"Ethics, corporate law, work environment, philosophy",https://drive.google.com/file/d/1htEwhb9CLXLEYFVEQP7bgt6iY36XM387/view?usp=sharing,The book provides an important opportunity for students to learn the core concepts of business ethics and understand how to apply those concepts to their professional lives.
,,,Foundations of Business law and the Legal Environment,2012,Don Mayer,Saylor Foundation,"Legal systems, US positive law, common law, democracy, civil law, business, ethics, , corporate, courts, constitutional law, commerce, administrative law, criminal law, tort reform",https://drive.google.com/file/d/1XpPkDyZq91BlvR38TjAfolwOBFwjJYG_/view?usp=sharing,"Our goal is to provide students with a textbook that is up to date and comprehensive in its coverage
of legal and regulatory issues—and organized to permit instructors to tailor the materials to their
particular approach."
,,,The Business Ethics Workshop,2012,James Brusseau,Saylor Foundation,"Ethics, philosophy, case studies, rights, cultural relativism, Kant, Nietzsche, discourse, employee, manager, consumerism, corporations",https://drive.google.com/file/d/173bqi-wvuJzNpBM5ezSGHjwcP10yFKUB/view?usp=sharing,"The Business Ethics Workshop provides a framework for identifying, analyzing, and resolving ethical dilemmas encountered through working life."
,,,The Legal and Ethical Environment of Business,2011,"Terence Lau

Lisa Johnson",Saylor Foundation,"Ethics, business, management, law, courts, dispute resolution",https://drive.google.com/file/d/1SUhgCFYFmJJiaeeogNlvz138mSQqXG4j/view?usp=sharing,This book provides an introduction into the legal and ethical elements of a business environment.
,,Digital Business,,,,,,,
,,,"Concise Guide to Databases
 A practical introduction",,"Peter Lake
 Paul Crowther",Springer,"Big Data, Database,Administration,Performance,Technologies,IT Infrastructure,NoSQL",https://drive.google.com/file/d/1Jwm8KRcdyPY5lwAp9pHQefpTbnWns0z8/view?usp=sharing,"This easy-to-read textbook/reference presents a comprehensive introduction to databases, opening with a concise history of databases and of data as an organisational asset. The book takes a wider view of database technology, encompassing big data, NoSQL, object and object-relational, and in-memory databases. The text also examines the issues of scalability, availability, performance and security encountered when building and running a database in the real world."
,,,"Enabling Things to Talk
 Designing IoT solutions with the IoT Architectural Reference Model",,"Editors
Alessandro Bassi
 Martin Bauer
 Martin Fiedler
 Thorsten Kramp
 Rob van Kranenburg
 Sebastian Lange
Stefan Meissner",Springer,"Business, Information Systems,Internet of Things,IoT,RFID,Reference Architecture,SCM,Smart Homes,Smart Objects,Spatio-Temporal Systems,Supply Chain, Management,Ubiquitous Computing, Web Applications",https://drive.google.com/file/d/1kbGJDb1moqWcnUXdl__X1XOCU-sSGNii/view?usp=sharing,"The Architectural Reference Model (ARM), presented in this book by the members of the IoT-A project team driving this harmonization effort, makes it possible to connect vertically closed systems, architectures and application areas so as to create open interoperable systems and integrated environments and platforms. It constitutes a foundation from which software companies can capitalize on the benefits of developing consumer-oriented platforms including hardware, software and services."
